entity,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020
Morocco,0.014,0.012,0.013,0.011,0.014,0.014,0.020,0.010,0.011,0.007,0.010,0.010,0.010,0.011,0.015,0.010,0.006701
United Nations,0.037,0.041,0.036,0.028,0.024,0.024,0.023,0.018,0.017,0.018,0.015,0.016,0.016,0.017,0.016,0.016,0.006696
Climate change,0.005,0.003,0.003,0.006,0.007,0.007,0.008,0.004,0.005,0.008,0.010,0.009,0.009,0.014,0.010,0.012,0.006423
FDA,0.033,0.033,0.023,0.026,0.024,0.023,0.023,0.022,0.018,0.018,0.018,0.019,0.016,0.018,0.020,0.011,0.006285
Romney,0.000,0.000,0.002,0.007,0.000,0.001,0.004,0.003,0.000,0.009,0.009,0.011,0.004,0.002,0.003,0.035,0.006212
Alzheimer's disease,,,,,,,,,,,,,,,,,0.006203
Netherlands,0.031,0.031,0.026,0.023,0.021,0.024,0.024,0.016,0.016,0.016,0.014,0.016,0.015,0.016,0.016,0.014,0.006180
Saudi Arabia,0.013,0.014,0.015,0.012,0.011,0.014,0.032,0.012,0.011,0.011,0.012,0.019,0.016,0.014,0.010,0.012,0.006099
San Bernardino,0.016,0.014,0.017,0.010,0.014,0.014,0.011,0.016,0.018,0.028,0.015,0.016,0.019,0.019,0.017,0.013,0.006088
Middle East,0.030,0.025,0.024,0.021,0.017,0.015,0.012,0.015,0.014,0.012,0.012,0.014,0.016,0.013,0.012,0.014,0.005976
Lebanon,0.011,0.011,0.008,0.017,0.011,0.012,0.011,0.015,0.008,0.006,0.007,0.010,0.008,0.007,0.007,0.006,0.005884
Bali,0.009,0.007,0.007,0.008,0.008,0.007,0.005,0.006,0.007,0.005,0.006,0.008,0.007,0.009,0.008,0.010,0.005870
Criminal justice reform in the United States,,,,,,,,,,,,,,,,,0.005816
Planned Parenthood,0.023,0.017,0.024,0.018,0.019,0.018,0.014,0.021,0.020,0.016,0.015,0.015,0.019,0.000,0.015,0.016,0.005761
Affordable Care Act,0.004,0.000,0.002,0.002,0.002,0.002,0.004,0.009,0.011,0.030,0.074,0.040,0.030,0.036,0.018,0.017,0.005659
Global warming,0.016,0.017,0.020,0.050,0.041,0.026,0.022,0.014,0.009,0.011,0.015,0.011,0.009,0.013,0.009,0.010,0.005554
September 11 attacks,0.033,0.030,0.043,0.026,0.022,0.020,0.019,0.019,0.021,0.015,0.015,0.016,0.016,0.017,0.017,0.018,0.005430
Jerusalem,0.015,0.012,0.009,0.008,0.009,0.010,0.007,0.008,0.008,0.008,0.008,0.009,0.007,0.007,0.011,0.013,0.005108
First amendment,0.005,0.012,0.008,0.005,0.008,0.006,0.010,0.006,0.007,0.005,0.005,0.005,0.006,0.006,0.007,0.005,0.005091
Electoral college,0.022,0.004,0.002,0.004,0.009,0.003,0.002,0.003,0.004,0.004,0.003,0.003,0.005,0.006,0.004,0.005,0.005069
Department of Defense,0.000,0.038,0.000,0.000,0.000,0.000,0.028,0.024,0.024,0.020,0.018,0.017,0.013,0.019,0.015,0.017,0.005042
Teddy Roosevelt,0.020,0.012,0.011,0.010,0.010,0.014,0.008,0.009,0.009,0.011,0.008,0.009,0.010,0.011,0.012,0.010,0.005022
John Barrasso,,,,,,,,,,,,,,,,,0.004960
Romania,0.015,0.016,0.015,0.013,0.013,0.008,0.019,0.008,0.007,0.008,0.008,0.008,0.006,0.007,0.006,0.005,0.004650
